,rw,sent,区,单元号,小区名,市,建筑物名称,户室号,村居委会,栋号,楼号,楼层,省,社区,组团名称,自然村组,街路巷名,门牌号
218,0,-富源路棚户区B区4-14-12--,,,,,,,,,,,,,B区,,富源路,4
219,0,-花果园J区9栋1-3806--,,,花果园J区,,,3806,,9栋,,,,,,,,1
220,0,-山水黔城九组团4-2-1401号--,,,山水黔城,,,1401号,,,,,,,九组团,,,4
221,0,-贵开路东安新苑2号楼1-26-5号--,,,东安新苑,,,5号,,2号楼,,,,,,,贵开路,1
222,0,-甲秀北路235号7-S15-1-2-13--,,,,,,235号,,,,,,,,,甲秀北路,15
223,0,-未来方舟F7组团4栋1单元1804--,,1单元,未来方舟,,,,,4栋,,,,,F7组团,,,1804
224,0,-市西路250号8栋6单元4-4--,,6单元,,,,250号,,8栋,,,,,,,市西路,4
225,0,-永乐路乐肓巷7-2-5-4--,,,,,,,,,,,,,,,永乐路,7
226,0,-蔡家关贵工路36栋1-2--,,,,,,,,36栋,,,,,,,贵工路,1
227,0,-威清路63号6-5-6--,,,,,,63号,,,,,,,,,威清路,6
228,0,-花果园M区7栋1单元2601--,,1单元,花果园M区,,,,,7栋,,,,,,,,2601
229,0,-北京东路未来方舟G1组团12栋1-9-3号--,,,未来方舟,,,3号,,12栋,,,,,G1组团,,北京东路,1
230,0,-黑土坝养马村安置小区1-1-201号--,,,安置小区,,,201号,养马村,,,,,,,,,1
231,0,-白果巷34号1-5-17--,,,,,,34号,,,,,,,,,白果巷,1
232,0,-一鸣宽城国际小区10栋1-22-3号--,,,一鸣宽城国际,,,3号,,10栋,,,,,,,,1
233,0,-花溪大道中段83号虹祥花郡小区-B2--1-8-4号--,,,虹祥花郡,,,4号,,,,,,,,,花溪大道中段,1
234,0,-三七厂生活区601栋3单元前5号--,,3单元,,,,5号,,,,,,,,,,601
235,0,-贵阳市宝山南路564号10栋1-1--,,,,贵阳市,,564号,,10栋,,,,,,,宝山南路,1
236,0,-螺丝山15栋2-7-4--,,,,,,,,15栋,,,,,,,,2
237,0,-南岳路46号附3号--,,,,,,附3号,,,,,,,,,南岳路,46号
238,0,-海马冲街42号1-3-10--,,,,,,42号,,,,,,,,,海马冲街,1
239,0,-旭东路134-7-14--,,,,,,134,,,,,,,,,旭东路,7
240,0,-建筑巷22号3单元8-22--,,3单元,,,,22号,,,,,,,,,建筑巷,8
241,0,-南冲路17号9栋4单元1-2--,,4单元,,,,17号,,9栋,,,,,,,,1
242,0,-玉田小区2号楼2-1-3--,,,玉田小区,,,,,2号楼,,,,,,,,2
243,0,-山水黔城九组团7-1-904号--,,,山水黔城,,,904号,,,,,,,九组团,,,7
244,0,-501厂179栋2单元204--,,2单元,,,,179,,,,,,,,,,501
245,0,-花果园J区10栋1-802--,,,花果园J区,,,802,,10栋,,,,,,,,1
246,0,-花果园X区4栋2-3401--,,,花果园X区,,,3401,,4栋,,,,,,,,2
247,0,-护国路129号7-8-32---,,,,,,129号,,,,,,,,,护国路,7
248,0,-博爱路24号2-5-42--,,,,,,24号,,,,,,,,,博爱路,2
249,0,-永秀巷15号4-1单元3-9--,,1单元,,,,15号,,,,,,,,,永秀巷,4
250,0,-云岩区翠屏巷41号1-502号--,云岩区,,,,,502号,,,,,,,,,翠屏巷,41号
251,0,-贵乌中路17号1栋2-5-3--,,,,,,17号,,1栋,,,,,,,贵乌中路,2
252,0,-云谭北路中铁阅山湖项目A26栋3-4-1--,,,中铁阅山湖,,,,,A26栋,,,,,,,,3
253,0,-长岭北路8号美的林城时代A46-1-1902--,,,,,,1902,,,,,,,,,长岭北路,8号
254,0,-贵阳云岩区北京东路未来方舟G1-5-1-2704号--,云岩区,,未来方舟,贵阳,,2704号,,,,,,,,,北京东路,5
255,0,-紫薇园C栋2-7-2--,,,,,,,,C栋,,,,,紫薇园,,,2
256,0,-一鸣宽城国际小区11栋1-28-3号--,,,一鸣宽城国际,,,3号,,11栋,,,,,,,,1
257,0,-悦景新城7栋1单元7-3--,,1单元,悦景新城,,,,,7栋,,,,,,,,7
